lnSa,lnSaRatio,lnDs,lnSDR1,lnSDR2,lnSDR3,lnSDR4,lnSDR5,lnSDR6,lnSDR7,lnSDR8,lnSDR9,lnSDR10,lnSDR11,lnSDR12,lnPFA1,lnPFA2,lnPFA3,lnPFA4,lnPFA5,lnPFA6,lnPFA7,lnPFA8,lnPFA9,lnPFA10,lnPFA11,lnPFA12
-1.272965676,-0.040969347,3.916015027,-3.584559079,-3.508666786,-3.90229052,-4.459184175,-4.817748497,-4.732152783,-4.297494328,-3.915333479,-4.032536641,-4.239430452,-4.744180561,-5.887126154,-0.781201695,-1.100393205,-1.06007916,-1.062706788,-1.04086396,-1.100066336,-1.20465507,-1.2692725,-1.183616781,-1.172244609,-1.196018682,-0.985200358
-1.237874356,-0.040969347,3.916015027,-3.67340776,-3.522941377,-3.848423988,-4.466295594,-4.730515746,-4.637637594,-4.231553566,-3.874221568,-4.006938263,-4.219764938,-4.717875386,-5.856884704,-0.731102702,-1.061036584,-1.041304098,-1.102965183,-1.03531288,-1.091682199,-1.182813464,-1.231535585,-1.166415394,-1.185572807,-1.191498059,-0.981523614
-2.302585093,-0.141379264,4.299324143,-5.179494871,-5.011335539,-5.338127373,-5.62517834,-5.748396023,-5.791895913,-5.796309032,-5.862540251,-5.938371274,-6.053288888,-6.293126552,-6.752873438,-2.091368376,-1.99151321,-1.858887613,-1.751521698,-1.714138196,-1.828020524,-2.110354238,-2.148934035,-2.115560803,-1.944065181,-1.75922233,-1.566349645
-2.207274913,-0.141379264,4.299324143,-5.014205158,-4.771941674,-5.060012531,-5.487767471,-5.624912146,-5.664930099,-5.591746589,-5.6597809,-5.817521324,-5.990433079,-6.253582842,-6.721416801,-2.024137447,-1.945423347,-1.83418369,-1.743838443,-1.684447011,-1.764852018,-2.039083867,-2.107758945,-2.047633729,-1.912350638,-1.709653265,-1.544581359
-2.120263536,-0.141379264,4.299324143,-4.866544041,-4.607637227,-4.866999993,-5.330817831,-5.50903099,-5.539566336,-5.397832776,-5.465806273,-5.717153469,-5.95469684,-6.248506202,-6.722006269,-1.990991501,-1.895601671,-1.824696935,-1.742488421,-1.667155922,-1.71468764,-1.957655365,-2.041133722,-1.952161713,-1.868013071,-1.684198577,-1.550949123
-2.040220829,-0.141379264,4.299324143,-4.567306162,-4.382802936,-4.635015149,-5.060157526,-5.383853469,-5.457111477,-5.380254367,-5.440097544,-5.692670443,-5.945749583,-6.265859288,-6.718317436,-1.974873879,-1.881480173,-1.814664713,-1.756747887,-1.664741474,-1.676628657,-1.880810648,-1.905087407,-1.887346614,-1.787262992,-1.679981827,-1.541539657
-1.966112856,-0.141379264,4.299324143,-4.017527976,-3.923255858,-4.212864619,-4.763949059,-5.382168651,-5.540814496,-5.505821356,-5.513921908,-5.66192198,-5.943928502,-6.240397813,-6.680356793,-2.006741008,-1.919144398,-1.809516822,-1.755291929,-1.664291294,-1.660862079,-1.816966508,-1.857222116,-1.859018911,-1.728795617,-1.735483429,-1.487113706
-1.897119985,-0.141379264,4.299324143,-3.663340371,-3.551886559,-3.776356394,-4.350938905,-5.149619814,-5.504407163,-5.448554381,-5.428847553,-5.613776336,-5.931321924,-6.231077985,-6.663813518,-2.02685253,-1.943475406,-1.818879152,-1.734753621,-1.658703522,-1.650433938,-1.778701353,-1.774919928,-1.811136363,-1.674715032,-1.701846325,-1.454770108
-2.302585093,0.05261873,0.924258902,-5.400746627,-5.295178299,-5.416018156,-5.482324343,-5.481113436,-5.488959846,-5.302100514,-5.181822271,-5.457732881,-5.792469436,-6.073820595,-6.515551042,-0.547862416,-0.671396333,-0.766534196,-0.845091024,-0.967127473,-0.917858913,-1.171425301,-1.236687233,-1.111696741,-1.373413165,-1.473536888,-1.1879319
-1.609437912,0.05261873,0.924258902,-4.409455387,-4.338484503,-4.541341292,-4.855553905,-5.160890322,-5.348510214,-5.08720915,-4.864641938,-4.871161219,-5.064507701,-5.579497953,-6.217828278,0.068145064,-0.207251338,-0.330066483,-0.49722178,-0.717959069,-0.71808121,-1.054272016,-0.970847295,-1.143863267,-1.264161539,-1.333361385,-1.106733756
