Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.1,1.054027699,2.52,0.00451321,0.00501572,0.00444481,0.00415965,0.00416469,0.00413214,0.00498112,0.00561776,0.00426321,0.00305044,0.00230236,0.00148024,0.578184408,0.510994561,0.464620565,0.42951826,0.38017353,0.399373219,0.30992489,0.29034447,0.329000259,0.253241129,0.229113701,0.304851075
0.2,1.054027699,2.52,0.0121618,0.0130563,0.0106591,0.00778502,0.00573659,0.00475523,0.00617523,0.00771459,0.00766446,0.00631702,0.00377446,0.00199357,1.070520591,0.812815333,0.718875939,0.608218078,0.487746698,0.487687128,0.348445998,0.378761979,0.318585859,0.282476042,0.263589744,0.330637141
0.3,1.054027699,2.52,0.0232679,0.0228585,0.0165655,0.00992326,0.00671124,0.00524896,0.00724109,0.00936534,0.00970698,0.00817969,0.00471317,0.00229739,1.498023828,1.141279461,0.7903367,0.632481222,0.586563067,0.504524735,0.348816369,0.396026936,0.331854442,0.306052836,0.281732712,0.364718985
0.4,1.054027699,2.52,0.0399076,0.0393636,0.0209678,0.010925,0.00788439,0.00605013,0.00747585,0.0101508,0.0104113,0.00893442,0.00552451,0.00238146,2.310826211,1.28981352,0.882903393,0.646117586,0.581805232,0.558806009,0.508427868,0.367819218,0.382385392,0.315169645,0.306249676,0.347417767
0.41,1.054027699,2.52,0.0419089,0.0412408,0.0214157,0.0110398,0.00808216,0.00617822,0.00745313,0.0101753,0.0104454,0.00896467,0.00558476,0.0023882,2.641155141,1.52016835,0.897498057,0.665584046,0.615477855,0.562662523,0.501357161,0.369106449,0.384972805,0.312926703,0.307534318,0.343607874
0.42,1.054027699,2.52,0.0441778,0.0431832,0.0217954,0.0110888,0.00819355,0.00624324,0.00743545,0.0101965,0.0104671,0.00897324,0.00561835,0.0023921,3.018907019,1.23969697,0.907112147,0.67950013,0.682178192,0.566891997,0.471359751,0.370774411,0.388401968,0.30957265,0.309191919,0.34008288
0.43,1.054027699,2.52,0.0468448,0.0452587,0.0221921,0.0111508,0.00833349,0.00632223,0.00741958,0.0102119,0.0104919,0.00897456,0.00563434,0.00239664,3.056462056,1.33013986,0.918313908,0.725511526,0.591970992,0.572590003,0.445537426,0.373291893,0.391090391,0.309153069,0.311502202,0.336620047
0.44,1.054027699,2.52,0.0498288,0.0474583,0.0225885,0.0112714,0.00845129,0.00638362,0.00743359,0.0102339,0.0105119,0.00896335,0.00562289,0.00239947,2.145710956,1.377005957,0.911965812,0.868619529,0.601939912,0.576614867,0.465721316,0.371631702,0.391522922,0.307360787,0.313592334,0.333861694
0.45,1.054027699,2.52,0.0537645,0.0497728,0.0229578,0.0112949,0.00843209,0.00634647,0.00741189,0.0102595,0.0105355,0.00894927,0.00559993,0.00240466,2.17031339,1.260909091,0.954346024,0.662476042,0.606418026,0.581724942,0.488932919,0.369098679,0.392002072,0.304589485,0.314081844,0.32965553
0.46,1.054027699,2.52,0.0637458,0.0562189,0.0232633,0.0112801,0.00836787,0.00626942,0.0073679,0.0102861,0.0105622,0.00893768,0.00557242,0.00241142,2.215817146,1.365040145,0.984382284,0.72967366,0.625312095,0.588961409,0.498026418,0.366630407,0.392310282,0.302520073,0.314563585,0.325104895
