Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,1.755415501,8.89,0.00436863,0.00583169,0.00591256,0.0057432,0.00585157,0.00537912,0.00523887,0.00462624,0.00342243,0.00253904,0.0019218,0.00126377,0.121557887,0.13102849,0.141606838,0.152743849,0.136279461,0.134092204,0.147659415,0.146957524,0.164781922,0.163639472,0.176387982,0.220101787
0.169,1.405483716,9.25,0.00553358,0.00741815,0.00704181,0.00584085,0.00453506,0.00374554,0.00372202,0.00358146,0.00326261,0.00268454,0.00198654,0.00125752,0.144039109,0.145133385,0.184867133,0.191621601,0.210571873,0.200304066,0.1781295,0.153688164,0.14123051,0.157197617,0.183663559,0.214782181
0.169,2.195232139,8.696,0.00531484,0.00684339,0.00580391,0.00497161,0.00449046,0.00403589,0.0037501,0.00345966,0.00276453,0.00216357,0.0016374,0.0010697,0.109831391,0.127168868,0.112854442,0.118070448,0.109688423,0.114967366,0.13167107,0.146890961,0.153427091,0.158352758,0.167060865,0.185281015
0.169,1.212973485,13.355,0.00699369,0.0105099,0.00956358,0.0076461,0.00654566,0.0060549,0.00690607,0.00710182,0.00550251,0.00329792,0.00229309,0.00147332,0.249776483,0.274988345,0.22551049,0.217938358,0.198734007,0.206763015,0.191790728,0.194197876,0.207898731,0.223626781,0.204814038,0.259404299
0.169,1.844360357,7.36,0.0060758,0.00833156,0.00641378,0.00406181,0.00334006,0.00296892,0.00383641,0.00380657,0.0036202,0.00294484,0.00230858,0.00135582,0.395327635,0.295949236,0.278435638,0.274887335,0.291864802,0.27978244,0.252626263,0.226719762,0.256499093,0.203643098,0.211815851,0.289010619
0.169,2.617643207,12.836,0.00548072,0.00789695,0.00772001,0.00650343,0.00528008,0.0044661,0.0052275,0.00472685,0.00377231,0.00316589,0.00244739,0.0015707,0.16499482,0.173127946,0.179986532,0.199594147,0.211659156,0.22245325,0.217270655,0.208747734,0.182531469,0.174448588,0.209943797,0.28047656
0.169,1.345982363,9.125,0.00609481,0.00835335,0.00792771,0.00712092,0.00639296,0.00664697,0.00812393,0.00764441,0.00642014,0.00488438,0.00321883,0.00182768,0.262100492,0.24205698,0.231755763,0.266223776,0.309290339,0.288552189,0.248025123,0.241259259,0.212893292,0.20975395,0.239711992,0.313895364
0.169,1.91133611,4.5,0.00574654,0.00774371,0.00712072,0.00549522,0.00428487,0.00375602,0.00355229,0.00375135,0.00361058,0.00286942,0.00224003,0.00149079,0.236061383,0.215818441,0.207330743,0.214026936,0.208017612,0.206221186,0.192634551,0.189739187,0.241149702,0.206984978,0.202085729,0.280603471
0.169,1.405629382,5.65,0.00930463,0.0112143,0.00944243,0.00621489,0.00411194,0.00424133,0.00549598,0.00553266,0.00409633,0.00291552,0.00215752,0.0013699,0.154103859,0.1477669,0.140482258,0.148795908,0.14619166,0.144751878,0.175714064,0.186478632,0.174599068,0.166670034,0.190341103,0.231874385
0.169,2.535278653,6.745,0.00377168,0.00409724,0.00382056,0.00367649,0.00357789,0.00351699,0.00533899,0.00659248,0.00702402,0.00690959,0.00442568,0.00201085,0.359013209,0.330859881,0.291238021,0.295664336,0.33991453,0.337213157,0.291297591,0.270259,0.231068117,0.241554261,0.261499611,0.321494431
0.169,2.01450191,22.425,0.00490955,0.00690897,0.00685521,0.00597346,0.00480416,0.00383168,0.00395041,0.00390378,0.00358318,0.00299648,0.00204355,0.00127128,0.212082103,0.228312872,0.212402227,0.214407925,0.17940404,0.16513209,0.163982647,0.189330225,0.184385651,0.188998187,0.219368816,0.25084978
0.169,2.542124537,16.715,0.0050264,0.00578041,0.0047342,0.00402668,0.00446907,0.00532134,0.00696733,0.00692664,0.00517426,0.00349305,0.00227727,0.00136985,0.201520591,0.194644652,0.193711474,0.185839679,0.191727791,0.198582751,0.175228438,0.237266252,0.233117845,0.197168609,0.19183424,0.227575758
0.169,1.195183256,16.49,0.00692595,0.00979576,0.00860989,0.00603743,0.00484757,0.00396322,0.00440732,0.00512608,0.00504375,0.00418908,0.00277959,0.00154583,0.256203574,0.219963481,0.203391608,0.244547268,0.234921523,0.22349728,0.220815592,0.203958819,0.222560218,0.198049987,0.251405594,0.270639731
0.169,1.937734674,9.715,0.0054377,0.00723469,0.00657087,0.00547248,0.00454279,0.00354128,0.00325684,0.00312092,0.00284989,0.002349,0.00180313,0.00118169,0.119810412,0.11662704,0.115292152,0.121171199,0.133850039,0.134351463,0.134221445,0.129557369,0.131868946,0.141806527,0.165275576,0.196361305
0.169,1.124709269,10.355,0.0088495,0.0119642,0.0108029,0.00761854,0.00445839,0.00340592,0.00350467,0.00336606,0.00306949,0.00240324,0.00180423,0.00117621,0.111225071,0.11158819,0.118317793,0.130820513,0.145450919,0.138568247,0.134766641,0.128089873,0.135419839,0.158887076,0.16369697,0.196129241
0.169,2.397130017,4.825,0.0058359,0.00815549,0.00781227,0.00709989,0.00573495,0.00452909,0.00491456,0.00496826,0.00365884,0.00265215,0.00206704,0.00140681,0.282167832,0.252735302,0.228355866,0.185343175,0.180484848,0.177084693,0.16249728,0.184655012,0.192071743,0.176216265,0.18686273,0.255311059
0.169,1.083892672,18.252,0.00440847,0.0053819,0.00482259,0.00481389,0.00516812,0.00583759,0.00709044,0.00644103,0.00453456,0.00282921,0.00198243,0.0012871,0.197006993,0.216157472,0.223013986,0.200518001,0.15195079,0.179995856,0.232152551,0.258079772,0.19003367,0.175308728,0.180730122,0.254818959
0.169,1.276150575,11.04,0.0188776,0.0195896,0.015962,0.0107045,0.0056591,0.0036263,0.00369132,0.00354509,0.00293869,0.0023267,0.00188474,0.0012396,0.307871018,0.275374255,0.271517742,0.232662782,0.235495985,0.214834758,0.251615903,0.237478891,0.227206941,0.21526677,0.179743849,0.267720798
0.169,2.566904445,13.855,0.00641704,0.00790124,0.00520042,0.00319921,0.00289188,0.0029331,0.00315181,0.00317736,0.00294588,0.00255565,0.00204634,0.00126661,0.173293447,0.195780109,0.222228179,0.200399378,0.179919451,0.182490546,0.188001036,0.160290339,0.159147889,0.151007252,0.199298627,0.254470603
0.169,2.118353871,14.75,0.00360345,0.00407989,0.00377837,0.00361428,0.00359612,0.00398542,0.00515098,0.00524162,0.00435771,0.00305447,0.00224335,0.00140179,0.11963222,0.154942761,0.167303548,0.159311318,0.142483035,0.137607874,0.13626159,0.147223776,0.179002072,0.177615126,0.190041699,0.239218855
0.169,1.970055174,4.63,0.00362895,0.0047273,0.00502015,0.00490338,0.00424374,0.00460189,0.00625596,0.00695741,0.00556973,0.00368178,0.00255572,0.00152738,0.218017871,0.184784771,0.207385392,0.21686014,0.20342476,0.17359078,0.160780627,0.178460761,0.198262626,0.200746957,0.212945351,0.266135716
0.169,1.303582106,6.005,0.00575535,0.0081367,0.00787953,0.00684341,0.00495367,0.00393386,0.00378389,0.0033648,0.00297338,0.00248042,0.00179512,0.001268,0.415848226,0.375260295,0.258574981,0.204527066,0.229264698,0.229532246,0.240495467,0.214595701,0.168297073,0.198247863,0.186369593,0.23602072
0.169,1.839650892,6.95,0.00689334,0.00988452,0.00835602,0.00526657,0.00321781,0.00250845,0.00349435,0.00492697,0.00441153,0.00303737,0.00221396,0.00141784,0.258489251,0.211964517,0.22643253,0.223693085,0.215634292,0.210313649,0.233580161,0.182721575,0.211626004,0.19155452,0.213287749,0.282556333
