Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,1.200821996,16.3,0.006028071,0.007776051,0.006848832,0.005215853,0.004010466,0.003512671,0.003488969,0.00341501,0.00294866,0.002331004,0.001836232,0.001170478,0.135421461,0.159426325,0.193416356,0.180499197,0.146336452,0.147086954,0.14645323,0.152850246,0.145479119,0.154025812,0.169067185,0.211753149
0.169,1.208224142,27.832,0.007093301,0.008726646,0.006968848,0.005159819,0.003767278,0.003362398,0.0031735,0.003277487,0.003260938,0.002655224,0.00190271,0.001176524,0.12737214,0.145678454,0.15733036,0.163497332,0.160736154,0.148910096,0.153437799,0.156230652,0.146831595,0.149804861,0.172166081,0.196052885
0.169,1.204661442,51.2,0.006152606,0.008442379,0.007043504,0.005088107,0.003813392,0.00329856,0.003324486,0.003125958,0.002673433,0.002092455,0.00156894,0.001018839,0.071592455,0.080049661,0.093498052,0.100155804,0.106496053,0.111823331,0.112182455,0.10933649,0.124094178,0.133926708,0.14463013,0.156289031
0.169,1.230059372,90.56,0.011611141,0.012478868,0.009133481,0.00520405,0.003598722,0.003198918,0.003245454,0.003096338,0.002725457,0.002167767,0.001660489,0.001063677,0.128786273,0.144293738,0.152980865,0.154629225,0.136531028,0.133801699,0.131099355,0.122071813,0.132139003,0.143110668,0.153481215,0.184359943
0.169,1.440702854,2.63,0.009288203,0.010427331,0.008867261,0.00733584,0.006794611,0.006270542,0.006902149,0.006408637,0.005282171,0.003875001,0.002793322,0.0018052,0.460082155,0.437991868,0.360337659,0.355606812,0.38395496,0.367636853,0.333822382,0.330994828,0.322560303,0.2396715,0.25250095,0.358451308
0.169,1.471320531,4.705,0.008532452,0.011352922,0.009663603,0.008097391,0.007626913,0.006534555,0.008194365,0.009376586,0.008135137,0.004503639,0.002992821,0.00164946,0.43963282,0.385502709,0.323414271,0.345548511,0.388214944,0.370712069,0.274464079,0.24922287,0.299672644,0.283913038,0.233773279,0.311963326
0.169,1.463989009,8.8,0.007575967,0.008981334,0.007191402,0.004882106,0.004154109,0.004278255,0.004833605,0.006777137,0.006559637,0.005624047,0.004173764,0.002398135,0.730428672,0.653091764,0.565104714,0.527361202,0.432924761,0.422344004,0.453946646,0.543295804,0.488491298,0.372114452,0.309217198,0.402678684
0.169,1.487693617,15.38,0.004422911,0.005692032,0.005272495,0.004570372,0.00384638,0.003249748,0.004784555,0.006918954,0.007136893,0.005372181,0.003036966,0.001586855,0.185829109,0.209431085,0.24063691,0.253577379,0.233801785,0.197769293,0.176826623,0.178003377,0.161780593,0.233017291,0.207717392,0.267793833
0.169,1.467388438,28.41,0.005366073,0.007207201,0.006824662,0.006262666,0.005563602,0.004530164,0.003998383,0.003842449,0.003182704,0.002287719,0.001705332,0.001111087,0.136876556,0.1379672,0.156303882,0.176983913,0.16283309,0.143191787,0.158656296,0.144927063,0.142652007,0.150928034,0.156409539,0.177902445
0.169,1.473504972,48.3,0.006568947,0.008488539,0.006982673,0.004604947,0.003819778,0.003784125,0.003940393,0.003757724,0.003222743,0.002821359,0.002286581,0.001340899,0.310513815,0.317463374,0.2983546,0.275438656,0.227909028,0.234844121,0.226644221,0.216228503,0.203306475,0.194093416,0.259581839,0.27751611
0.169,1.566868722,88.93,0.00558192,0.007720151,0.00633804,0.004522827,0.003505186,0.003180297,0.003716192,0.003784737,0.003154142,0.002353142,0.001781544,0.001096521,0.147775711,0.136757001,0.146206907,0.164620249,0.160989604,0.140981241,0.121082639,0.119889164,0.135589277,0.146338309,0.166217954,0.190231015
0.169,1.772223513,2.74,0.006841073,0.009003632,0.008608818,0.007730861,0.006668138,0.005793139,0.005340292,0.004922089,0.00443603,0.003966756,0.002870336,0.001450412,0.266791989,0.289857358,0.296847615,0.293666801,0.293228671,0.249811324,0.317829767,0.244238967,0.232013947,0.207123685,0.227398088,0.260160179
0.169,1.809482799,4.876,0.003777272,0.004016956,0.003904665,0.00392183,0.003869148,0.004495705,0.005795472,0.00729792,0.007792818,0.006757128,0.00413662,0.001814298,0.354244095,0.297515165,0.300007024,0.265247907,0.242928997,0.27022418,0.312281722,0.286283129,0.239422126,0.255294118,0.248505861,0.300919081
0.169,1.807133195,8.73,0.006782236,0.008594672,0.008260012,0.007454684,0.005703547,0.003842781,0.003681538,0.003557872,0.003128711,0.002590244,0.001953219,0.001223043,0.118407034,0.119617996,0.121357446,0.141236206,0.146120863,0.156544431,0.155939135,0.157597555,0.147753823,0.149390785,0.180677327,0.20693116
0.169,1.799023704,15.604,0.005498905,0.006850785,0.005733365,0.004308048,0.004076086,0.004017686,0.004487657,0.004365013,0.003377571,0.002482101,0.001887805,0.001232829,0.157962551,0.159522569,0.154326278,0.139459759,0.127946952,0.165881764,0.173017011,0.162846073,0.143526467,0.158306473,0.172723813,0.216069112
0.169,1.797961977,27.585,0.005251894,0.006773576,0.005619659,0.004427244,0.003538447,0.003344342,0.003504647,0.003471486,0.003057692,0.002325511,0.001706583,0.001110862,0.103203303,0.126879568,0.116654975,0.126337381,0.128379764,0.120856102,0.133573466,0.14040223,0.140201562,0.161196511,0.156957467,0.187380536
0.169,1.723173967,50.325,0.007131593,0.009077724,0.007514461,0.005365716,0.004047312,0.00342028,0.003384846,0.003158312,0.002684925,0.002106886,0.001583605,0.001034905,0.064683393,0.084988386,0.100299922,0.104617993,0.105002028,0.105308011,0.108111624,0.119788941,0.128310886,0.136496094,0.146137164,0.159142165
0.169,1.707378284,87.27,0.005885167,0.00798521,0.00628799,0.004644259,0.003835216,0.003281542,0.003333094,0.003879891,0.003781115,0.00298794,0.002050885,0.001239301,0.187904566,0.207614582,0.224855553,0.225985491,0.196437275,0.193207632,0.191095612,0.194751184,0.168754493,0.165758288,0.191146447,0.238100961
0.169,2.168260351,2.815,0.005609542,0.008054604,0.00834618,0.00772337,0.007351768,0.006086723,0.005388192,0.005364144,0.004562634,0.003200586,0.002257035,0.00141108,0.168688656,0.177316952,0.199489915,0.165974237,0.164801499,0.179927646,0.183783548,0.186978653,0.185203551,0.18446086,0.196339692,0.24486395
0.169,2.127406008,4.865,0.005996643,0.008176955,0.006737246,0.004259969,0.004584185,0.004715764,0.005798645,0.007312085,0.007164013,0.006043751,0.004999357,0.00272698,0.565101424,0.401170655,0.367730847,0.440509997,0.434036856,0.379605595,0.347973988,0.315710028,0.322371797,0.297189383,0.295383735,0.344318415
